LeBron James,240,6-8,Small Forward and Power Forward and Shooting Guard,Right,10,29,2011-12 ★,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,387,502,.771,94,398,492,387,115,50,213,96,1683,
LeBron James,240,6-8,Small Forward and Power Forward and Shooting Guard,Right,10,29,2011-12 ★,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,387,502,.771,94,398,492,387,115,50,213,96,1683,
LeBron James,240,6-8,Small Forward and Power Forward and Shooting Guard,Right,10,29,2011-12 ★,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,387,502,.771,94,398,492,387,115,50,213,96,1683,
Kyrie Irving,180,6-2,Point Guard,Right,2,21,2011-12,19,CLE,NBA,PG,51,51,1558,350,747,.469,73,183,.399,277,564,.491,171,196,.872,44,147,191,275,54,20,160,110,944,
Kevin Durant,215,6-9,Small Forward and Shooting Guard,Right,6,25,2011-12 ★,23,OKC,NBA,SF,66,66,2546,643,1297,.496,133,344,.387,510,953,.535,431,501,.860,40,487,527,231,88,77,248,133,1850,
Dwight Howard,240,6-11,Center and Power Forward,Right,9,28,2011-12 ★,26,ORL,NBA,C,54,54,2070,416,726,.573,0,7,.000,416,719,.579,281,572,.491,200,585,785,104,81,116,175,159,1113,
Rajon Rondo,171,6-1,Point Guard,Right,7,27,2011-12 ★,25,BOS,NBA,PG,53,53,1957,256,572,.448,10,42,.238,246,530,.464,108,181,.597,62,195,257,620,95,3,193,99,630,
Jeff Adrien,243,6-7,Power Forward,Right,3,28,2011-12,25,HOU,NBA,PF,8,0,63,7,16,.438,0,0,,7,16,.438,7,12,.583,5,17,22,1,0,2,2,13,21,
Arron Afflalo,215,6-5,Shooting Guard and Small Forward,Right,6,28,2011-12,26,DEN,NBA,SG,62,62,2086,329,699,.471,88,221,.398,241,478,.504,197,247,.798,40,157,197,149,36,13,85,134,943,
Blake Ahearn,190,6-2,Point Guard,Right,,,2011-12,27,UTA,NBA,PG,4,0,30,4,14,.286,2,9,.222,2,5,.400,0,0,,0,2,2,1,0,0,5,4,10,
Solomon Alabi,251,7-1,Center,Right,2,25,2011-12,23,TOR,NBA,C,14,0,122,13,36,.361,0,0,,13,36,.361,7,8,.875,15,32,47,3,2,9,5,11,33,
Cole Aldrich,245,6-11,Center,Right,3,25,2011-12,23,OKC,NBA,C,26,0,173,22,42,.524,0,0,,22,42,.524,13,14,.929,13,35,48,3,8,16,9,22,57,
LaMarcus Aldridge,240,6-11,Power Forward and Center,Right,7,28,2011-12 ★,26,POR,NBA,PF,55,55,1994,483,943,.512,2,11,.182,481,932,.516,223,274,.814,150,292,442,134,51,45,111,153,1191,
Lavoy Allen,225,6-9,Power Forward and Center,Right,2,25,2011-12,22,PHI,NBA,PF,41,15,624,79,167,.473,0,0,,79,167,.473,11,14,.786,47,124,171,34,13,18,20,73,169,
Ray Allen,205,6-5,Shooting Guard,Right,17,38,2011-12,36,BOS,NBA,SG,46,42,1565,226,493,.458,106,234,.453,120,259,.463,97,106,.915,14,128,142,109,49,8,68,83,655,
Tony Allen,213,6-4,Shooting Guard and Point Guard,Right,9,32,2011-12,30,MEM,NBA,SG,58,57,1525,210,448,.469,8,26,.308,202,422,.479,140,175,.800,98,135,233,79,104,33,94,142,568,
Morris Almond,225,6-6,Shooting Guard,Right,,,2011-12,26,WAS,NBA,SG,4,0,67,6,17,.353,1,3,.333,5,14,.357,1,3,.333,1,7,8,2,7,0,1,6,14,
Al-Farouq Aminu,215,6-9,Small Forward,Right,3,23,2011-12,21,NOH,NBA,SF,66,21,1477,150,365,.411,13,47,.277,137,318,.431,86,114,.754,95,213,308,66,59,34,91,136,399,
Louis Amundson,225,6-9,Power Forward and Center,Right,7,31,2011-12,29,IND,NBA,C,60,0,753,89,207,.430,0,0,,89,207,.430,35,82,.427,94,128,222,14,27,44,45,125,213,
Chris Andersen,230,6-10,Center and Power Forward,Right,11,35,2011-12,33,DEN,NBA,C,32,1,486,59,108,.546,0,0,,59,108,.546,50,82,.610,48,100,148,6,19,46,17,52,168,
Alan Anderson,220,6-6,Small Forward and Shooting Guard,Right,4,31,2011-12,29,TOR,NBA,SF,17,12,461,55,142,.387,24,61,.393,31,81,.383,29,34,.853,8,26,34,26,5,3,25,35,163,
James Anderson,215,6-6,Shooting Guard and Small Forward,Right,3,24,2011-12,22,SAS,NBA,SG,51,2,603,66,174,.379,19,68,.279,47,106,.443,39,52,.750,16,63,79,41,8,2,30,35,190,
Ryan Anderson,240,6-10,Power Forward,Right,5,25,2011-12,23,ORL,NBA,PF,61,61,1964,332,757,.439,166,422,.393,166,335,.496,150,171,.877,224,247,471,54,50,26,57,146,980,
Carmelo Anthony,230,6-8,Small Forward and Power Forward,Right,10,29,2011-12 ★,27,NYK,NBA,SF,55,55,1876,441,1025,.430,68,203,.335,373,822,.454,295,367,.804,88,256,344,200,62,24,144,156,1245,
Joel Anthony,245,6-9,Center and Power Forward,Left,6,31,2011-12,29,MIA,NBA,C,64,51,1349,85,152,.559,0,0,,85,152,.559,49,71,.690,100,150,250,9,36,84,45,126,219,
Gilbert Arenas,191,6-3,Point Guard,Right,,,2011-12,30,MEM,NBA,PG,17,0,211,26,64,.406,13,39,.333,13,25,.520,7,10,.700,2,16,18,18,11,1,12,35,72,
Trevor Ariza,200,6-8,Small Forward and Shooting Guard,Right,9,28,2011-12,26,NOH,NBA,SF,41,41,1350,168,403,.417,29,87,.333,139,316,.440,79,102,.775,41,174,215,135,69,25,76,73,444,
Omer Asik,255,7-0,Center,Right,3,27,2011-12,25,CHI,NBA,C,66,2,971,79,156,.506,0,0,,79,156,.506,47,103,.456,127,223,350,32,30,68,68,121,205,
D.J. Augustin,180,6-0,Point Guard,Right,5,26,2011-12,24,CHA,NBA,PG,48,46,1408,183,487,.376,61,179,.341,122,308,.396,105,120,.875,24,85,109,307,36,1,110,65,532,
Gustavo Ayon,250,6-10,Center and Power Forward,Right,2,28,2011-12,26,NOH,NBA,PF,54,24,1088,140,261,.536,0,1,.000,140,260,.538,39,63,.619,86,179,265,74,53,46,46,118,319,
Jeff Ayres,240,6-9,Center and Power Forward,Right,3,26,2011-12,24,IND,NBA,C,20,1,106,15,36,.417,0,0,,15,36,.417,4,7,.571,12,21,33,4,3,2,2,16,34,
Kelenna Azubuike,220,6-5,Shooting Guard and Small Forward,Right,,,2011-12,28,DAL,NBA,SG,3,0,18,3,8,.375,1,3,.333,2,5,.400,0,0,,0,0,0,0,1,0,4,1,7,
